id,lon,lat,name,highway,public_transport,amenity,railway,route,bus,train,subway,station,x,y
366459518,106.6794039,10.8384347,UBND Phường 17,bus_stop,platform,,,,yes,,,,683588.3169080575,1198621.2238274985
366465995,106.7441355,10.8335682,Đò Bình Quới,,station,ferry_terminal,,,,,,,690669.7058560924,1198122.682308499
383552890,106.687247,10.7508118,Cầu Nguyễn Văn Cừ,bus_stop,platform,,,,yes,,,,684499.408427848,1188933.6539239553
411921743,106.7022474,10.784146,Khách sạn Sofitel,bus_stop,platform,,,,yes,,,,686119.6708031212,1192629.955684701
860695663,106.67243,10.7912452,Cổng Xe lửa,bus_stop,platform,,,,yes,,,,682854.3411242313,1193397.2452646366
1001114482,106.6951544,10.8096755,Nhà Thờ Bình Hòa,bus_stop,platform,,,,yes,,,,685328.2710291289,1195449.579315295
1171564036,106.6625401,10.8016016,Vòng xoay Lăng Cha Cả,bus_stop,platform,,,,yes,,,,681766.5202537405,1194536.898181949
1171583911,106.6860864,10.8040672,Đại học Văn Hiến,bus_stop,platform,,,,yes,,,,684340.0377243367,1194823.7339825174
1171583920,106.6875737,10.8038785,Bệnh viện Phước An,bus_stop,platform,,,,yes,,,,684502.8036983021,1194803.7590122416
1171583921,106.6916712,10.8033408,Phòng Cảnh sát Phòng cháy Chữa cháy Quận Bình Thạnh,bus_stop,platform,,,,yes,,,,684951.2352625348,1194746.7594926495
1171583923,106.6934358,10.8031098,Bệnh viện Gia Định,bus_stop,platform,,,,yes,,,,685144.3540032313,1194722.2764381568
1171583941,106.6836428,10.8025249,Ngã tư Thích Quảng Đức,bus_stop,platform,,,,yes,,,,684073.7465031623,1194651.6609165987
1171587740,106.7080886,10.8031651,Nhà thờ Hàng Xanh,bus_stop,platform,,,,yes,,,,686746.7616700279,1194737.3117711893
1171615062,106.6737425,10.7996024,Công an Quận Phú Nhuận,bus_stop,platform,,,,yes,,,,682992.8214398744,1194322.446674138
1171615063,106.6817073,10.8004303,Ngã tư Phan Xích Long,bus_stop,platform,,,,yes,,,,683863.3549438667,1194418.8041773755
1171615064,106.6839835,10.8026388,Ngã tư Thích Quảng Đức,bus_stop,platform,,,,yes,,,,684110.9360702238,1194664.4651086393
1171615073,106.6860951,10.8039006,Trường Đại học Văn Hiến,bus_stop,platform,,,,yes,,,,684341.0908383732,1194805.3109595038
