name,lon,lat,x,y,n_osm_objects
Ga Phạm Văn Hai,106.6608359,10.7889622,681587.7428686759,1193137.8093908792,1
Ga Lê Thị Riêng,106.6659614,10.786218,682149.9402622045,1192837.3131532525,1
Ga Hoà Hưng,106.6744824,10.7816488,683084.6065553616,1192336.9850119592,1
Ga Dân Chủ,106.6820322,10.7776161,683912.7583626234,1191895.439579372,1
Ben Thanh,106.6975426,10.7708273,685613.2825773887,1191153.859425567,2
Opera House,106.70220434999999,10.7755703,686120.2351427285,1191681.3319900667,2
Ba Son,106.70840605000001,10.7820344,686794.5328585326,1192400.1333823104,2
Van Thanh Park,106.715507,10.796060933333335,687562.458031989,1193956.0258185663,3
Tan Cang,106.72330538000001,10.79859826,688413.7408132188,1194241.4898933624,5
Thao Dien,106.73365026666666,10.8004897,689543.9115178217,1194457.1107634148,3
An Phu,106.74224543333334,10.802139366666665,690482.8708731475,1194644.936478432,3
Rach Chiec,106.75526813333333,10.8085484,691903.0088978474,1195362.0381418269,3
Phuoc Long,106.75818073333335,10.821426733333332,692213.3310500806,1196788.4439779266,3
Binh Thai,106.76390036666665,10.832663666666667,692831.6246913135,1198035.0646594989,3
Thu Duc,106.77165036666668,10.8464069,693670.2726122962,1199560.2402421192,3
High Tech Park,106.78883259999999,10.858992133333333,695540.9526544072,1200963.4056667385,3
National University,106.80120086666666,10.866301466666664,696888.5765500726,1201779.9532668071,3
Suoi Tien Terminal,106.81411023333334,10.879574900000001,698291.3614649839,1203256.677272394,3
