Timestamp,Q1.1_DCKD_Phuong,Q1.5_DCCT_Phuong,Q1.6_DCCT_Quan,Q1.7_LVKD,Q1.8_SLNV,Q1.9_TGHD,Q2.1_MucDo_ONKK,Q2.2_MucDo_NgapLut,Q2.3_MucDo_ONTO,Q2.4_MucDo_ONN,Q2.4_MucDo_UTGT_TT,Q2.5_MucDo_UTGT_KD,Q2.6_MucDo_TNGT_KD,Q2.7_TG_DiLam,Q2.8_KSD_GTCC,Q2.9_DeDang_KVCC,Q2.10_TX_KCB,Q2.12_MucDo_PLRac,Q2.13_MucDo_HTCTN,Q2.15_MucDo_HT_CSCC,Q2.16_MucDo_HTDuongXa,Q2.17_MucDo_KGTonGiao,Q2.18_MucDo_CuaHang,Q3.1_LyDo_ChonNoiKD,Q3.2_MucDo_MM_TimNoiO,Q3.3_MucDo_AnNinh,Q3.4_MucDo_CongDongDanCu,Q3.5_MucDo_PhuHop_NGTE,Q4.1_TocDo_TT,Q4.2_LoiNhuan,Q4.3_DTKH,Q4.4_SLKH,Q4.5_MM_ChiaSe,Q4.6_ThachThuc,Q4.7_MucDo_LoiThe,Q4.8_MucDo_TiepTuc,Q4.9_MucDo_ThayDoiTot,Q4.10_MucDo_CTHT,Q4.11_MucDo_HTTP,Q4.12_MM_ThayDoi,Q4.13_DongY_TGiaPVSau,rid,geo_ok,d_bus_m_osm2023,d_metro_m_osm2023,poi_1000m_osm2023,d_bus_m_osm2026,d_metro_m_osm2026,poi_1000m_osm2026,delta_access_m,delta_poi,treated,road_density,net_dist_bus_m_osm2023,detour_ratio_osm2023,net_dist_bus_m_osm2026,detour_ratio_osm2026,net_dist_bus_m,detour_ratio,pop_dens_2020,pop_dens_2025,built_s_2020,built_s_2025,ndbi_2023,ndbi_2026,d_ndbi,pop_growth_pct,sector_en,b2c,micro,tenure_y,customers_m,growth,exposure,cluster
2023-03-26 18:41:14.146,Linh Tây,Linh Tây,TP. Thủ Đức,Công nghệ,0-5 người,<2 năm,3,1,3,1,1,1,1,<10 phút,Không có ý kiến,4,Có,4,4,4,4,4,4,Gia đình/họ hàng tôi đã kinh doanh ở đây,4,4,4,3,Đạt kết quả tốt,>10tr,Người tiêu dùng (mô hình B2C),<100,Không,không có điều ngăn cản,4,4,4,4,3,đất không đủ,Không,S001,True,21.434552136335597,1992.35491323193,80.0,25.130696144442357,1989.286467125901,83.0,-3.69614400810676,3.0,0,25474.60247169097,21.486195327453466,1.002409343138564,28.90024194076916,1.1499976671820304,28.90024194076916,1.1499976671820304,142.79917907714844,162.11582946777344,3684.0,3684.0,0.1989174634218216,0.1824948638677597,-0.0164225902408361,13.527143864173771,Other,1,1,2.0,50,3,>1000 m,0
2023-03-26 18:58:35.217,Linh Tây,Linh Tây,TP. Thủ Đức,làm đẹp,0-5 người,>5 năm,3,1,1,2,1,1,1,<10 phút,Không có ý kiến,5,Không,2,4,4,4,4,4,Gia đình/họ hàng tôi đã kinh doanh ở đây,2,4,4,4,Đạt kết quả tốt,>10tr,Người tiêu dùng (mô hình B2C),<100,Không,không có điều gì khác,3,4,4,2,3,không thêm gì hết,Không,S002,True,89.6827376411712,2023.1424319495509,84.0,80.60444759658678,2019.2795291592977,87.0,9.07829004458442,3.0,0,25407.22678736225,207.9455328545812,2.318679584543797,103.39144071397462,1.2827014364199023,103.39144071397462,1.2827014364199023,145.05203247070312,164.6734161376953,3803.0,3803.0,0.0090466253459453,0.023087864741683,0.0140412403270602,13.527134596307857,Other,1,1,8.0,50,3,>1000 m,0
2023-03-29 16:26:57.598,Trường Thọ,Trường Thọ,TP. Thủ Đức,Tạp hoá,0-5 người,<5 năm,2,1,1,1,3,3,2,<10 phút,Thói quen sử dụng xe máy để di chuyển,3,Không,2,2,3,3,3,3,Gia đình/họ hàng tôi đã kinh doanh ở đây,5,1,2,3,Đạt kết quả kém,>10tr,Người tiêu dùng (mô hình B2C),<100,Có,Các vấn đề liên quan môi trường kinh tế + thương mại,1,5,3,3,3,Thêm dịch vụ tiện ích,Không,S003,True,940.3149971083292,1217.610037261746,12.0,318.1983511046853,1228.7866682239253,13.0,622.1166460036438,1.0,0,16558.626386904813,1269.4214383479298,1.3499959505609012,418.9896489245075,1.3167561914444443,418.9896489245075,1.3167561914444443,41.35421371459961,46.94825744628906,1119.0,1119.0,-0.1361369788646698,-0.0835249051451683,0.052612081170082,13.52714325629783,Grocery,1,1,5.0,50,1,>1000 m,0
2023-04-05 18:23:01.995,Trường Thọ,Trường Thọ,TP. Thủ Đức,Tạp hoá,0-5 người,<2 năm,4,3,4,3,3,3,3,<10 phút,Không cảm thấy thoải mái khi phải đi bộ đến các trạm,2,Không,1,1,1,1,1,1,Gia đình/họ hàng tôi đã kinh doanh ở đây,1,2,2,1,Đạt kết quả kém,>10tr,Cả 2,<100,Không,Các vấn đề liên quan cơ sở hạ tầng + giao thông,1,2,3,3,3,"Thêm dịch vụ tiện ích, Thêm sân chơi cộng đồng (công viên, sân chơi thể thao,hồ bơi..)",Không,S004,True,999.1981167175592,1025.986560506766,5.0,99.84060750342196,1038.259479953667,5.0,899.357509214137,0.0,0,18383.809214281784,1287.5349924440627,1.2885682738011075,168.21855843966404,1.6848711425749137,168.21855843966404,1.6848711425749137,203.9828948974609,231.5759429931641,5209.0,5209.0,0.063952200114727,0.1008308976888656,0.0368786975741386,13.527138199295448,Grocery,0,1,2.0,50,1,>1000 m,3
2023-04-05 18:34:52.442,Trường Thọ,Trường Thọ,TP. Thủ Đức,Tạp hoá,0-5 người,<1 năm,4,4,4,4,4,4,4,<10 phút,Thói quen sử dụng xe máy để di chuyển,3,Không,3,3,3,3,3,3,Gia đình/họ hàng tôi đã kinh doanh ở đây,3,3,3,3,Đạt kết quả kém,>10tr,Cả 2,<100,Không,Các vấn đề liên quan cơ sở hạ tầng + giao thông,3,3,3,3,3,"Thêm trung tâm thương mại, Thêm dịch vụ tiện ích, Thêm nơi làm việc",Không,S005,True,316.54900803275865,170.4961859465637,31.0,123.54866892056292,167.65008031449273,38.0,193.0003391121957,7.0,1,23928.452883139584,577.3525748430034,1.823896332612279,200.667825792658,1.6242006291599933,200.667825792658,1.6242006291599933,43.12080383300781,48.95381546020508,1055.0,1055.0,0.0519047603011131,0.1310917288064956,0.0791869610548019,13.527140286592369,Grocery,0,1,1.0,50,1,<500 m,3
2023-04-02 22:09:02.780,Trường Thọ,Trường Thọ,TP. Thủ Đức,kinh doanh xe,0-5 người,<5 năm,4,3,4,2,3,3,2,<10 phút,Thói quen sử dụng xe máy để di chuyển,3,Có,3,3,3,3,3,3,"Chi phí bất động sản (nhà cửa, đất đai) ở đây phù hợp với tôi",3,2,3,2,Đạt kết quả khá tốt,>10tr,Người tiêu dùng (mô hình B2C),<100,Không,Các vấn đề liên quan môi trường xã hội + văn hóa,3,4,4,3,3,Thêm các khu nhà ở,Có,S006,True,767.0689899657353,1329.713891281024,9.0,39.098514803970346,1341.7601772924847,11.0,727.970475161765,2.0,0,18247.3219940095,924.368022682867,1.2050650394877236,67.95513428089399,1.7380489929503238,67.95513428089399,1.7380489929503238,226.3239898681641,256.93914794921875,5045.0,5045.0,0.0799999982118606,0.119097463786602,0.0390974655747413,13.527137842916394,Other,1,1,5.0,50,2,>1000 m,0
2023-04-02 21:53:12.535,Trường Thọ,Trường Thọ,TP. Thủ Đức,Tạp hoá,0-5 người,<5 năm,3,3,4,4,2,2,2,<10 phút,Thói quen sử dụng xe máy để di chuyển,4,Có,2,3,4,4,3,4,"Chi phí bất động sản (nhà cửa, đất đai) ở đây phù hợp với tôi",4,3,3,4,Đạt kết quả tốt,>10tr,Người tiêu dùng (mô hình B2C),>100,Không,Các vấn đề liên quan môi trường tự nhiên + thời tiết / khí hậu,3,4,3,3,3,Thêm các khu nhà ở,Có,S007,True,837.9340069231266,1186.7639769118996,6.0,59.20457964269426,1199.0651292201378,6.0,778.7294272804323,0.0,0,17310.272450407054,1180.368485440841,1.408665211924177,102.63636106305307,1.7335882069001094,102.63636106305307,1.7335882069001094,189.2836456298828,214.8883056640625,4231.0,4231.0,-0.0197316501289606,0.0405751205980777,0.0603067688643932,13.5271380414164,Grocery,1,1,5.0,150,3,>1000 m,0
2023-04-05 10:33:14.454,Trường Thọ,Trường Thọ,TP. Thủ Đức,Tạp hoá,0-5 người,<5 năm,2,2,3,2,2,2,2,<10 phút,Thói quen sử dụng xe máy để di chuyển,3,Không,3,4,4,4,4,4,"Chi phí bất động sản (nhà cửa, đất đai) ở đây phù hợp với tôi",3,3,3,3,Đạt kết quả tốt,>10tr,Người tiêu dùng (mô hình B2C),>100,Không,Các vấn đề liên quan môi trường tự nhiên + thời tiết / khí hậu,3,4,4,4,4,Thêm các khu nhà ở,Không,S008,True,1161.7237657830303,784.2911730546988,8.0,137.26350317428842,796.6335606650144,9.0,1024.460262608742,1.0,1,18145.09174554651,1596.6094842580674,1.3743452026066745,285.8732581183264,2.08266036861483,285.8732581183264,2.08266036861483,208.55551147460935,236.76710510253903,4097.0,4097.0,0.0711864382028579,0.0992321893572807,0.0280457492917776,13.52713885548132,Grocery,1,1,5.0,150,3,500–1000 m,0
2023-04-05 11:09:12.929,Linh đông,Linh đông,TP. Thủ Đức,Xây dựng thiết kế,0-5 người,>5 năm,2,2,2,2,2,2,2,<10 phút,Thói quen sử dụng xe máy để di chuyển,4,Không,3,4,4,4,4,4,"Chi phí bất động sản (nhà cửa, đất đai) ở đây phù hợp với tôi",4,4,3,3,Đạt kết quả khá tốt,>10tr,Cả 2,>100,Không,Các vấn đề liên quan môi trường tự nhiên + thời tiết / khí hậu,3,3,4,4,3,Thêm các khu nhà ở,Không,S009,True,173.6119830799829,2074.4401626928857,18.0,125.51166490382768,2085.81976892809,20.0,48.10031817615523,2.0,0,21875.80735905959,180.50542445811945,1.0397060229129502,144.44277801617366,1.1508315034052954,144.44277801617366,1.1508315034052954,166.29122924804688,188.78567504882807,3847.0,3847.0,0.0911583304405212,0.0263996366411447,-0.064758688211441,13.527139045455971,Other,0,1,8.0,150,2,>1000 m,3
2023-04-05 11:16:29.508,Trường Thọ,Trường Thọ,TP. Thủ Đức,Tạp hoá,0-5 người,<5 năm,2,2,2,2,2,2,2,<10 phút,Thói quen sử dụng xe máy để di chuyển,4,Không,3,4,4,4,3,3,"Chi phí bất động sản (nhà cửa, đất đai) ở đây phù hợp với tôi",4,4,4,4,Đạt kết quả khá tốt,>10tr,Cả 2,>100,Không,Các vấn đề liên quan môi trường tự nhiên + thời tiết / khí hậu,3,3,4,3,3,Thêm dịch vụ tiện ích,Không,S010,True,1052.038292166785,992.2234057766118,5.0,292.1407084234529,1004.4382489964952,5.0,759.897583743332,0.0,0,16921.463596612586,1672.8988114014069,1.5901501151216593,565.6186390474103,1.936117161143992,565.6186390474103,1.936117161143992,244.11032104492188,277.1314697265625,4966.0,4966.0,-0.0255969017744064,-0.0022978445049375,0.0232990588992834,13.527141556445692,Grocery,0,1,5.0,150,2,>1000 m,3
