id,year,title,doi,url,cited_in_manuscript,verification
Geurs2004,2004,Accessibility evaluation of land-use and transport strategies: review and research directions,10.1016/j.jtrangeo.2003.10.005,https://doi.org/10.1016/j.jtrangeo.2003.10.005,True,Crossref metadata checked against intended title and journal
Handy1997,1997,Measuring Accessibility: An Exploration of Issues and Alternatives,10.1068/a291175,https://doi.org/10.1068/a291175,True,Crossref metadata checked against intended title and journal
Pot2021,2021,Perceived accessibility: What it is and why it differs from calculated accessibility measures based on spatial data,10.1016/j.jtrangeo.2021.103090,https://doi.org/10.1016/j.jtrangeo.2021.103090,True,Crossref metadata checked against intended title and journal
Lattman2016,2016,Development and test of the Perceived Accessibility Scale (PAC) in public transport,10.1016/j.jtrangeo.2016.06.015,https://doi.org/10.1016/j.jtrangeo.2016.06.015,True,Crossref metadata checked against intended title and journal
Lattman2018,2018,A new approach to accessibility – Examining perceived accessibility in contrast to objectively measured accessibility in daily travel,10.1016/j.retrec.2018.06.002,https://doi.org/10.1016/j.retrec.2018.06.002,True,Crossref metadata checked against intended title and journal
Geurs2016,2017,Distributive justice and equity in transportation,10.1080/01441647.2016.1257660,https://doi.org/10.1080/01441647.2016.1257660,True,Crossref metadata checked against intended title and journal
Curl2015,2011,Does Accessibility Planning address what matters? A review of current practice and practitioner perspectives,10.1016/j.rtbm.2011.07.001,https://doi.org/10.1016/j.rtbm.2011.07.001,True,Crossref metadata checked against intended title and journal
VanWee2016,2016,Accessible accessibility research challenges,10.1016/j.jtrangeo.2015.10.018,https://doi.org/10.1016/j.jtrangeo.2015.10.018,True,Crossref metadata checked against intended title and journal
Ajzen1991,1991,The theory of planned behavior,10.1016/0749-5978(91)90020-t,https://doi.org/10.1016/0749-5978(91)90020-t,True,Crossref metadata checked against intended title and journal
Verplanken2003,2003,Reflections on Past Behavior: A Self‐Report Index of Habit Strength,10.1111/j.1559-1816.2003.tb01951.x,https://doi.org/10.1111/j.1559-1816.2003.tb01951.x,True,Crossref metadata checked against intended title and journal
Gardner2012,2012,Towards parsimony in habit measurement: Testing the convergent and predictive validity of an automaticity subscale of the Self-Report Habit Index,10.1186/1479-5868-9-102,https://doi.org/10.1186/1479-5868-9-102,True,Crossref metadata checked against intended title and journal
Aarts1998,1998,Predicting Behavior From Actions in the Past: Repeated Decision Making or a Matter of Habit?,10.1111/j.1559-1816.1998.tb01681.x,https://doi.org/10.1111/j.1559-1816.1998.tb01681.x,True,Crossref metadata checked against intended title and journal
Bamberg2003,2003,"Choice of Travel Mode in the Theory of Planned Behavior: The Roles of Past Behavior, Habit, and Reasoned Action",10.1207/s15324834basp2503_01,https://doi.org/10.1207/s15324834basp2503_01,True,Crossref metadata checked against intended title and journal
Bamberg2011,2011,Behaviour theory and soft transport policy measures,10.1016/j.tranpol.2010.08.006,https://doi.org/10.1016/j.tranpol.2010.08.006,True,Crossref metadata checked against intended title and journal
Fujii2003,2003,What does a one-month free bus ticket do to habitual drivers? An experimental analysis of habit and attitude change,10.1023/a:1021234607980,https://doi.org/10.1023/a:1021234607980,True,Crossref metadata checked against intended title and journal
Gardner2009,2009,Modelling motivation and habit in stable travel mode contexts,10.1016/j.trf.2008.08.001,https://doi.org/10.1016/j.trf.2008.08.001,True,Crossref metadata checked against intended title and journal
Schwanen2012,2012,Rethinking habits and their role in behaviour change: the case of low-carbon mobility,10.1016/j.jtrangeo.2012.06.003,https://doi.org/10.1016/j.jtrangeo.2012.06.003,True,Crossref metadata checked against intended title and journal
Kroesen2017,2017,Do attitudes cause behavior or vice versa? An alternative conceptualization of the attitude-behavior relationship in travel behavior modeling,10.1016/j.tra.2017.05.013,https://doi.org/10.1016/j.tra.2017.05.013,True,Crossref metadata checked against intended title and journal
Steg2005,2005,"Car use: lust and must. Instrumental, symbolic and affective motives for car use",10.1016/j.tra.2004.07.001,https://doi.org/10.1016/j.tra.2004.07.001,True,Crossref metadata checked against intended title and journal
Banister2008,2008,The sustainable mobility paradigm,10.1016/j.tranpol.2007.10.005,https://doi.org/10.1016/j.tranpol.2007.10.005,True,Crossref metadata checked against intended title and journal
Cervero1997,1997,"Travel demand and the 3Ds: Density, diversity, and design",10.1016/s1361-9209(97)00009-6,https://doi.org/10.1016/s1361-9209(97)00009-6,True,Crossref metadata checked against intended title and journal
Ewing2010,2010,Travel and the Built Environment: A Meta-Analysis,10.1080/01944361003766766,https://doi.org/10.1080/01944361003766766,True,Crossref metadata checked against intended title and journal
Handy2005,2005,Correlation or causality between the built environment and travel behavior? Evidence from Northern California,10.1016/j.trd.2005.05.002,https://doi.org/10.1016/j.trd.2005.05.002,True,Crossref metadata checked against intended title and journal
Cao2009,2009,Examining the Impacts of Residential Self‐Selection on Travel Behaviour: A Focus on Empirical Findings,10.1080/01441640802539195,https://doi.org/10.1080/01441640802539195,True,Crossref metadata checked against intended title and journal
Saelens2003,2003,"Environmental correlates of walking and cycling: Findings from the transportation, urban design, and planning literatures",10.1207/s15324796abm2502_03,https://doi.org/10.1207/s15324796abm2502_03,True,Crossref metadata checked against intended title and journal
Ewing2009,2009,Measuring the Unmeasurable: Urban Design Qualities Related to Walkability,10.1080/13574800802451155,https://doi.org/10.1080/13574800802451155,True,Crossref metadata checked against intended title and journal
Alfonzo2005,2005,To Walk or Not to Walk? The Hierarchy of Walking Needs,10.1177/0013916504274016,https://doi.org/10.1177/0013916504274016,True,Crossref metadata checked against intended title and journal
Vale2015,2015,Active accessibility: A review of operational measures of walking and cycling accessibility,10.5198/jtlu.2015.593,https://doi.org/10.5198/jtlu.2015.593,True,Crossref plus publisher https://www.jtlu.org/index.php/jtlu/article/view/593; publisher recommended citation uses 2015 and volume 9(1)
ElGeneidy2014,2014,New evidence on walking distances to transit stops: identifying redundancies and gaps using variable service areas,10.1007/s11116-013-9508-z,https://doi.org/10.1007/s11116-013-9508-z,True,Crossref metadata checked against intended title and journal
Iacono2010,2010,"Measuring non-motorized accessibility: issues, alternatives, and execution",10.1016/j.jtrangeo.2009.02.002,https://doi.org/10.1016/j.jtrangeo.2009.02.002,True,Crossref metadata checked against intended title and journal
Truitt2008,2008,"On the back of a motorbike: Middle‐class mobility in Ho Chi Minh City, Vietnam",10.1111/j.1548-1425.2008.00002.x,https://doi.org/10.1111/j.1548-1425.2008.00002.x,True,Crossref metadata checked against intended title and journal
Hansen2017,2017,Hanoi on wheels: emerging automobility in the land of the motorbike,10.1080/17450101.2016.1156425,https://doi.org/10.1080/17450101.2016.1156425,True,Crossref metadata checked against intended title and journal
