outcome,term,n,blocks,OR,low,high,p
walk,Intercept,438,61,0.16742138672177417,0.04783701132414863,0.5859463197211083,0.005169601610419342
walk,C(income)[T.Low],438,61,2.7741570126944524,1.324227821028578,5.811648878592562,0.006845785218311884
walk,C(income)[T.Middle],438,61,1.4176467550879086,0.6637640733214509,3.0277660436707583,0.3673633549580555
walk,log_distance,438,61,1.0957160018532308,0.757767157261018,1.5843832042771906,0.6271096423779718
walk,age,438,61,0.9892955316826246,0.966039845752868,1.0131110567644008,0.3752261513742394
walk,female,438,61,0.814204813095555,0.5110331719078128,1.297233749412173,0.3870858809038157
habit,Intercept,438,61,1.7024854626964168,0.6390199693960649,4.535784309576354,0.28721186904118523
habit,C(income)[T.Low],438,61,0.5449589457753078,0.2747000702275996,1.0811073049034,0.0824160854446297
habit,C(income)[T.Middle],438,61,0.7839681044037556,0.3717516919326987,1.6532701856100367,0.52260954078336
habit,log_distance,438,61,0.7698200577458818,0.5762133157691306,1.028478351835446,0.07673173297267519
habit,age,438,61,1.0259944855128873,1.0096201428564053,1.042634392500003,0.0017699243084554448
habit,female,438,61,1.2538469296495345,0.8263937182981337,1.9024008631493432,0.28755261951318756
