metric,reason,n,median,q25,q75
d_inclusive_2023,Motorcycle habit,309,264.6897000679419,122.765075736655,478.72849544522415
d_inclusive_2023,Walking discomfort,68,281.64554766050924,141.18086952828526,548.8573855402726
d_inclusive_2023,Stops and frequency,29,413.3587163114727,236.7353596987757,650.9398811374602
d_inclusive_2023,Parking at stops,21,289.6031347689403,210.24429569739755,598.6511503704417
d_inclusive_2023,Bus quality and staff,11,198.52709092783678,172.2718236167036,367.8144179700953
network_100,Motorcycle habit,308,398.4699920478164,206.9886844622372,802.8519375759636
network_100,Walking discomfort,68,428.02533182871804,208.13111046149567,822.726171379453
network_100,Stops and frequency,29,550.6765421362636,370.30949989509134,1004.9093365448475
network_100,Parking at stops,21,415.1329062340537,260.58587923660906,876.549806374928
network_100,Bus quality and staff,11,436.0827288646002,296.64193143455736,594.0110157569377
d_highway_2023,Motorcycle habit,309,264.6897000679419,122.765075736655,478.72849544522415
d_highway_2023,Walking discomfort,68,281.64554766050924,141.18086952828526,548.8573855402726
d_highway_2023,Stops and frequency,29,413.3587163114727,236.7353596987757,650.9398811374602
d_highway_2023,Parking at stops,21,289.6031347689403,210.24429569739755,598.6511503704417
d_highway_2023,Bus quality and staff,11,198.52709092783678,172.2718236167036,367.8144179700953
network_250,Motorcycle habit,308,398.4699920478164,206.9886844622372,802.8519375759636
network_250,Walking discomfort,68,428.02533182871804,208.13111046149567,822.726171379453
network_250,Stops and frequency,29,550.6765421362636,370.30949989509134,1004.9093365448475
network_250,Parking at stops,21,415.1329062340537,260.58587923660906,876.549806374928
network_250,Bus quality and staff,11,436.0827288646002,296.64193143455736,594.0110157569377
network_highway,Motorcycle habit,308,398.4699920478164,206.9886844622372,802.8519375759636
network_highway,Walking discomfort,68,428.02533182871804,208.13111046149567,822.726171379453
network_highway,Stops and frequency,29,550.6765421362636,370.30949989509134,1004.9093365448475
network_highway,Parking at stops,21,415.1329062340537,260.58587923660906,876.549806374928
network_highway,Bus quality and staff,11,436.0827288646002,296.64193143455736,594.0110157569377
d_inclusive_2026,Motorcycle habit,309,144.68997661413871,75.5490593620577,224.1738458239085
d_inclusive_2026,Walking discomfort,68,133.68291688097332,69.85941238454677,216.32540541666526
d_inclusive_2026,Stops and frequency,29,143.57532795251578,80.66169729831809,234.13574203907035
d_inclusive_2026,Parking at stops,21,86.07881277565677,68.9896634221204,180.490387603947
d_inclusive_2026,Bus quality and staff,11,131.3711909782886,103.78953881443677,179.15531300656306
