cohort,reason,n,denominator_all,pct_all,pct_reason_givers,ci_low_pct,ci_high_pct
Verified,Motorcycle habit,309,450,68.66666666666667,70.3872437357631,64.23825430320527,72.77907779257716
Verified,Walking discomfort,68,450,15.11111111111111,15.489749430523919,12.098107410733709,18.71473617214913
Verified,Stops and frequency,29,450,6.444444444444445,6.605922551252847,4.5241894531743725,9.102035656666628
Verified,Parking at stops,22,450,4.888888888888889,5.011389521640091,3.2504263112890355,7.2910211239034295
Verified,Bus quality and staff,11,450,2.4444444444444446,2.5056947608200457,1.3703163535114138,4.323623307233353
Verified,Reports using public transport,11,450,2.4444444444444446,,1.3703163535114138,4.323623307233353
Full clean,Motorcycle habit,313,460,68.04347826086956,70.17937219730942,63.64779661136202,72.14029366026895
Full clean,Walking discomfort,71,460,15.434782608695652,15.919282511210762,12.420776715546806,19.0213154147023
Full clean,Stops and frequency,29,460,6.304347826086956,6.502242152466367,4.425033106153189,8.907422983029644
Full clean,Parking at stops,22,460,4.782608695652174,4.932735426008969,3.1792943866730554,7.134889028998735
Full clean,Bus quality and staff,11,460,2.391304347826087,2.4663677130044843,1.3404124400120125,4.23077106014242
Full clean,Reports using public transport,14,460,3.0434782608695654,,1.82143971306114,5.043289218598026
