Station (2026 name),lon_2023,lat_2023,lon_2026,lat_2026,shift_m,in 2023 snapshot,in 2026 snapshot
An Phu,106.7424501,10.802193,106.74224543333334,10.802139366666664,22.7,yes,yes
Ba Son,106.7083868,10.7819749,106.70840605,10.7820344,6.9,yes,yes
Ben Thanh,106.6974825,10.7708285,106.6975426,10.7708273,6.4,yes,yes
Binh Thai,106.7637882,10.8326789,106.76390036666665,10.832663666666669,12.1,yes,yes
High Tech Park,106.7887776,10.8591,106.7888326,10.858992133333333,13.3,yes,yes
National University,106.800932,10.8661872,106.80120086666666,10.866301466666664,31.4,yes,yes
Opera House,106.7022416,10.775547,106.70220435,10.7755703,4.7,yes,yes
Phuoc Long,106.7580541,10.8211662,106.75818073333336,10.821426733333332,31.8,yes,yes
Rach Chiec,106.7553141,10.8087019,106.75526813333332,10.8085484,17.7,yes,yes
Suoi Tien Terminal,106.8142076,10.8796893,106.81411023333334,10.8795749,16.4,yes,yes
Tan Cang,106.7232676,10.7985968,106.72330538,10.79859826,4.0,yes,yes
Thao Dien,106.7335043,10.8004701,106.73365026666666,10.8004897,15.8,yes,yes
Thu Duc,106.7716203,10.8462055,106.77165036666668,10.8464069,22.5,yes,yes
Van Thanh Park,106.7153661,10.7959801,106.715507,10.796060933333337,17.5,yes,yes
